date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:38	20649/20649	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2011:54:34%20GMT	https://www.dasco.kr/xe/?mid=ds_sitemap	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/indexb4d2.html	(from https://www.dasco.kr/xe/ds_sitemap)
14:54:38	16901/16901	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2011:54:34%20GMT	https://www.dasco.kr/xe/?mid=user_terms	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/indexbd50.html	(from https://www.dasco.kr/xe/user_terms)
14:54:38	18970/18970	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2011:54:34%20GMT	https://www.dasco.kr/xe/?mid=co_notice	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/indexb2de.html	(from https://www.dasco.kr/xe/co_notice)
14:54:39	119/119	---M--	200	added ('OK')	image/png	etag:%22192093c-77-566e3713d37c0%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/common/gnb_t_parent.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/common/gnb_t_parent.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:39	1237/1237	---M--	200	added ('OK')	image/png	etag:%221920937-4d5-566e3713d37c0%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/common/bg_admin_set_ico.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/common/bg_admin_set_ico.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:40	1241/1241	---M--	200	added ('OK')	image/png	etag:%221920939-4d9-566e3713d37c0%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/common/bg_user_set_ico.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/common/bg_user_set_ico.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:40	1097/1097	---M--	200	added ('OK')	image/gif	etag:%221920944-449-56b4221c31580%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/common/util_bar.gif	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/common/util_bar.gif	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:40	1014/1014	---M--	200	added ('OK')	image/png	etag:%221920943-3f6-566e3713d37c0%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/common/top_util_arr.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/common/top_util_arr.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:41	5384/5384	---M--	200	added ('OK')	image/png	etag:%22192096f-1508-56882f3455e00%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick03.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick03.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:41	5451/5451	---M--	200	added ('OK')	image/png	etag:%221920970-154b-56882f3455e00%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick03_ov.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick03_ov.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:42	5310/5310	---M--	200	added ('OK')	image/png	etag:%22192096d-14be-56882f3455e00%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick02.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick02.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:42	5270/5270	---M--	200	added ('OK')	image/png	etag:%22192096e-1496-56882f3455e00%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick02_ov.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick02_ov.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:42	5632/5632	---M--	200	added ('OK')	image/png	etag:%22192096b-1600-56882f3455e00%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick01.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick01.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:43	5691/5691	---M--	200	added ('OK')	image/png	etag:%22192096c-163b-56882f3455e00%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick01_ov.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick01_ov.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:43	4711/4711	---M--	200	added ('OK')	image/png	etag:%221920971-1267-5f0c56ddd5a80%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick04.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick04.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:43	4776/4776	---M--	200	added ('OK')	image/png	etag:%221920972-12a8-5f0c56ddd5a80%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick04_ov.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/main/main_quick04_ov.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
14:54:44	1133/1133	---M--	200	added ('OK')	image/png	etag:%221920963-46d-566e3714c7a00%22	https://www.dasco.kr/xe/layouts/dong_a_layouts/img/main/btn_bui_detail.png	C:/My%20Web%20Sites/https___www.dasco.kr_/www.dasco.kr/xe/layouts/dong_a_layouts/img/main/btn_bui_detail.png	(from https://www.dasco.kr/xe/layouts/dong_a_layouts/css/layout.css)
